"Grouper_id","ICPC_code"
524,"S82"
525,"S83"
526,"S84"
527,"S85"
528,"S86"
529,"S87"
530,"S88"
531,"S89"
532,"S90"
533,"S91"
534,"S92"
535,"S93"
536,"S94"
537,"S95"
538,"S96"
539,"S97"
540,"S98"
541,"S99"
542,"T01"
543,"T02"
544,"T03"
545,"T04"
546,"T05"
547,"T07"
548,"T08"
549,"T10"
550,"T26"
551,"T27"
552,"T29"
553,"T30"
554,"T31"
555,"T70"
556,"T71"
557,"T72"
558,"T73"
559,"T80"
560,"T81"
561,"T82"
562,"T83"
563,"T85"
564,"T86"
565,"T87"
566,"T89"
567,"T90"
568,"T91"
569,"T93"
570,"T99"
571,"U01"
572,"U02"
573,"U04"
574,"U05"
575,"U06"
576,"U07"
577,"U13"
578,"U14"
579,"U28"
580,"U29"
581,"U30"
582,"U31"
583,"U70"
584,"U71"
585,"U72"
586,"U75"
587,"U76"
588,"U77"
589,"U78"
590,"U79"
591,"U80"
592,"U85"
593,"U88"
594,"U90"
595,"U95"
596,"U98"
597,"U99"
598,"W01"
599,"W02"
600,"W03"
601,"W05"
602,"W10"
603,"W11"
604,"W12"
605,"W13"
606,"W14"
607,"W15"
608,"W17"
609,"W18"
610,"W19"
611,"W21"
612,"W27"
613,"W28"
614,"W29"
615,"W30"
616,"W31"
617,"W70"
618,"W71"
619,"W72"
620,"W73"
621,"W75"
622,"W76"
623,"W78"
624,"W79"
625,"W80"
626,"W81"
627,"W82"
628,"W83"
629,"W84"
630,"W85"
631,"W90"
632,"W91"
633,"W92"
634,"W93"
635,"W94"
636,"W95"
637,"W96"
638,"W99"
639,"X01"
640,"X02"
641,"X03"
642,"X04"
643,"X05"
644,"X06"
645,"X07"
646,"X08"
647,"X09"
648,"X10"
649,"X11"
650,"X12"
651,"X13"
652,"X14"
653,"X15"
654,"X16"
655,"X17"
656,"X18"
657,"X19"
658,"X20"
659,"X21"
660,"X22"
661,"X23"
662,"X24"
663,"X25"
664,"X26"
665,"X27"
666,"X28"
667,"X29"
668,"X30"
669,"X31"
670,"X37"
671,"X70"
672,"X71"
673,"X72"
674,"X73"
675,"X74"
676,"X75"
677,"X76"
678,"X77"
679,"X78"
680,"X79"
681,"X80"
682,"X81"
683,"X82"
684,"X83"
685,"X84"
686,"X85"
687,"X86"
688,"X87"
689,"X88"
690,"X89"
691,"X90"
692,"X91"
693,"X92"
694,"X99"
695,"Y01"
696,"Y02"
697,"Y03"
698,"Y04"
699,"Y05"
700,"Y06"
701,"Y07"
702,"Y08"
703,"Y10"
704,"Y13"
705,"Y14"
706,"Y16"
707,"Y24"
708,"Y25"
709,"Y26"
710,"Y27"
711,"Y28"
712,"Y29"
713,"Y30"
714,"Y31"
715,"Y70"
716,"Y71"
717,"Y73"
718,"Y74"
719,"Y75"
720,"Y76"
721,"Y77"
722,"Y78"
723,"Y79"
724,"Y80"
725,"Y81"
726,"Y82"
727,"Y83"
728,"Y84"
729,"Y85"
730,"Y86"
731,"Y99"
732,"Z01"
733,"Z02"
734,"Z03"
735,"Z04"
736,"Z05"
737,"Z06"
738,"Z07"
739,"Z08"
740,"Z09"
741,"Z10"
742,"Z11"
743,"Z12"
744,"Z13"
745,"Z14"
746,"Z15"
747,"Z16"
748,"Z18"
749,"Z19"
750,"Z20"
751,"Z21"
752,"Z22"
753,"Z23"
754,"Z24"
755,"Z25"
756,"Z27"
757,"Z28"
758,"Z29"
759,"T92"
760,"A30016"
760,"A30018"
760,"A30025"
760,"A30026"
760,"A30027"
786,"K85"
786,"K86"
786,"K87"
786,"W81002"
786,"W81003"
787,"W10"
787,"W11"
787,"W50"
788,"W01"
788,"W78"
788,"W79"
789,"A50"
789,"B50"
789,"D50"
789,"F50"
789,"H50"
789,"K50"
789,"L50"
789,"N50"
789,"P50"
789,"R50"
789,"S50"
789,"T50"
789,"U50"
789,"W50"
789,"X50"
789,"Y50"
789,"Z50"
790,"A60"
790,"A61"
790,"B60"
790,"B61"
790,"D60"
790,"D61"
790,"F60"
790,"F61"
790,"H60"
790,"H61"
790,"K60"
790,"K61"
790,"L60"
790,"L61"
790,"N60"
790,"N61"
790,"P60"
790,"P61"
790,"R60"
790,"R61"
790,"S60"
790,"S61"
790,"T60"
790,"T61"
790,"U60"
790,"U61"
790,"W60"
790,"W61"
790,"X60"
790,"X61"
790,"Y60"
790,"Y61"
790,"Z60"
790,"Z61"
811,"D10"
812,"D97"
813,"F74"
814,"F81"
815,"F86"
816,"L08"
817,"N26"
818,"N27"
819,"N28"
820,"P28"
821,"T11"
822,"U08"
823,"U26"
824,"U27"
825,"Y72"
